fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
C2,,,,,51.621244,-115.608378,2040.0,,,,,,164.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2050.0,,,,,,188.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,2294.0,,,,,,188.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2301.0,,,,,,201.0,,,0.75,,20,,1
O1a,,,,,51.621244,-115.608378,2313.0,,,,,,206.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2326.0,,,,,,205.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2337.0,,,,,,206.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2349.0,,,,,,211.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2359.0,,,,,,204.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2361.0,,,,,,169.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2355.0,,,,,,144.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2350.0,,,,,,153.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2349.0,,,,,,170.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2350.0,,,,,,177.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2350.0,,,,,,163.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2342.0,,,,,,136.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2325.0,,,,,,132.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2312.0,,,,,,137.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2299.0,,,,,,141.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2291.0,,,,,,158.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2293.0,,,,,,167.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2293.0,,,,,,171.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2293.0,,,,,,182.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2296.0,,,,,,193.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2300.0,,,,,,200.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2304.0,,,,,,200.0,,,,,20,,101
